acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,name
0.661,https://api.spotify.com/v1/audio-analysis/5ZgypEwT8Mayum8GKG1KlG,0.621,105787,0.348,5ZgypEwT8Mayum8GKG1KlG,0.000294,5,0.0899,-12.808,1,0.0251,103.123,4,https://api.spotify.com/v1/tracks/5ZgypEwT8Mayum8GKG1KlG,audio_features,spotify:track:5ZgypEwT8Mayum8GKG1KlG,0.9,I Will - 2018 Mix
0.849,https://api.spotify.com/v1/audio-analysis/2fS3WRUilBxRoFMk3HVaoW,0.399,176133,0.091,2fS3WRUilBxRoFMk3HVaoW,0.000105,2,0.106,-15.499,1,0.0314,134.702,4,https://api.spotify.com/v1/tracks/2fS3WRUilBxRoFMk3HVaoW,audio_features,spotify:track:2fS3WRUilBxRoFMk3HVaoW,0.185,Julia - 2018 Mix
2.27e-05,https://api.spotify.com/v1/audio-analysis/1LT1LaG2hOR8VB2zzMcDjL,0.587,161987,0.662,1LT1LaG2hOR8VB2zzMcDjL,0.165,2,0.194,-8.056,1,0.0398,139.374,4,https://api.spotify.com/v1/tracks/1LT1LaG2hOR8VB2zzMcDjL,audio_features,spotify:track:1LT1LaG2hOR8VB2zzMcDjL,0.964,Birthday - 2018 Mix
0.000652,https://api.spotify.com/v1/audio-analysis/6s16hVzIWDpv8w4BMCaZdw,0.328,241000,0.608,6s16hVzIWDpv8w4BMCaZdw,0.216,4,0.0948,-9.17,1,0.0467,104.258,4,https://api.spotify.com/v1/tracks/6s16hVzIWDpv8w4BMCaZdw,audio_features,spotify:track:6s16hVzIWDpv8w4BMCaZdw,0.48,Yer Blues - 2018 Mix
0.614,https://api.spotify.com/v1/audio-analysis/07SnYttUopjIFHnc1hZIMc,0.564,167827,0.197,07SnYttUopjIFHnc1hZIMc,0.208,2,0.271,-16.103,1,0.0255,84.761,4,https://api.spotify.com/v1/tracks/07SnYttUopjIFHnc1hZIMc,audio_features,spotify:track:07SnYttUopjIFHnc1hZIMc,0.473,Mother Nature's Son - 2018 Mix
0.00445,https://api.spotify.com/v1/audio-analysis/4pBM26oKtRWYK2UbYD4OlJ,0.503,144653,0.775,4pBM26oKtRWYK2UbYD4OlJ,5.31e-05,2,0.0554,-6.719,1,0.0683,117.153,4,https://api.spotify.com/v1/tracks/4pBM26oKtRWYK2UbYD4OlJ,audio_features,spotify:track:4pBM26oKtRWYK2UbYD4OlJ,0.738,Everybody's Got Something To Hide Except Me And My Monkey - 2018 Mix
0.279,https://api.spotify.com/v1/audio-analysis/6jQYMZNNNFOljhzo65MBL3,0.483,195427,0.546,6jQYMZNNNFOljhzo65MBL3,0.00113,7,0.198,-9.039,1,0.0299,149.62,4,https://api.spotify.com/v1/tracks/6jQYMZNNNFOljhzo65MBL3,audio_features,spotify:track:6jQYMZNNNFOljhzo65MBL3,0.732,Sexy Sadie - 2018 Mix
0.000218,https://api.spotify.com/v1/audio-analysis/0gPVEAjbO8oQyCEVE6oudx,0.22,269773,0.884,0gPVEAjbO8oQyCEVE6oudx,0.141,4,0.828,-7.21,1,0.0913,167.748,4,https://api.spotify.com/v1/tracks/0gPVEAjbO8oQyCEVE6oudx,audio_features,spotify:track:0gPVEAjbO8oQyCEVE6oudx,0.248,Helter Skelter - 2018 Mix
0.35,https://api.spotify.com/v1/audio-analysis/4eQVJHK0O5LctXPzsRj9LI,0.337,186427,0.23,4eQVJHK0O5LctXPzsRj9LI,0.139,5,0.103,-11.589,1,0.0282,104.767,4,https://api.spotify.com/v1/tracks/4eQVJHK0O5LctXPzsRj9LI,audio_features,spotify:track:4eQVJHK0O5LctXPzsRj9LI,0.106,"Long, Long, Long - 2018 Mix"
0.0974,https://api.spotify.com/v1/audio-analysis/7sfE6KbRUzH2VBOeDGUsie,0.37,255653,0.674,7sfE6KbRUzH2VBOeDGUsie,0.000296,9,0.427,-8.39,1,0.0411,98.997,4,https://api.spotify.com/v1/tracks/7sfE6KbRUzH2VBOeDGUsie,audio_features,spotify:track:7sfE6KbRUzH2VBOeDGUsie,0.583,Revolution 1 - 2018 Mix
